Country,Clicks,Impressions,CTR,Position
Kenya,8,226,3.54%,5.21
United Kingdom,3,6,50%,6.5
Iran,1,2,50%,3.5
United States,0,23,0%,11.22
India,0,7,0%,5.14
Uganda,0,7,0%,8.29
Bangladesh,0,5,0%,12.2
Netherlands,0,3,0%,5.33
Germany,0,3,0%,7.33
Saudi Arabia,0,3,0%,7.67
Tanzania,0,3,0%,9.33
Italy,0,2,0%,7
Philippines,0,2,0%,7.5
United Arab Emirates,0,2,0%,9
Hong Kong,0,2,0%,9
Pakistan,0,2,0%,9
Spain,0,1,0%,1
Albania,0,1,0%,2
Norway,0,1,0%,2
Somalia,0,1,0%,2
Japan,0,1,0%,3
Oman,0,1,0%,3
South Korea,0,1,0%,4
Lebanon,0,1,0%,4
Russia,0,1,0%,5
Honduras,0,1,0%,6
Canada,0,1,0%,7
Greece,0,1,0%,7
Sweden,0,1,0%,7
Morocco,0,1,0%,8
Nigeria,0,1,0%,8
Rwanda,0,1,0%,8
South Africa,0,1,0%,8
Ghana,0,1,0%,9
China,0,1,0%,11
Mexico,0,1,0%,12
Ireland,0,1,0%,15
Cambodia,0,1,0%,17
